coherence_score,factorization_time,data,params,iteration
0,1430.5704193009988,both,"{'limit_to_nouns': True, 'max_df': 0.9713727886948318, 'min_df': 0.02050595382108869, 'model__alpha': 0.37627173375900025, 'model__l1_ratio': 0.38607075747365305, 'model__n_components': 60, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",13
0,17.703654285000084,title,"{'limit_to_nouns': False, 'max_df': 0.9818975520989411, 'min_df': 0.02499509148964143, 'model__alpha': 0.5854653210038789, 'model__l1_ratio': 0.6857484584088439, 'model__n_components': 45, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",14
0.5364782616299055,175.91871953099871,both,"{'limit_to_nouns': False, 'max_df': 0.9817957310357887, 'min_df': 0.01443142629801743, 'model__alpha': 0.9946084242200011, 'model__l1_ratio': 0.26173680642616115, 'model__n_components': 50, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",15
0,167.93150559199967,title,"{'limit_to_nouns': True, 'max_df': 0.9793750375754775, 'min_df': 0.024773133055334903, 'model__alpha': 0.3308834708123467, 'model__l1_ratio': 0.326749198175752, 'model__n_components': 40, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",16
0,23.78867347400046,title,"{'limit_to_nouns': False, 'max_df': 0.9550059672460695, 'min_df': 0.04604095001153425, 'model__alpha': 0.252923742139329, 'model__l1_ratio': 0.31844178826811975, 'model__n_components': 90, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",17
0,1410.0824786289995,both,"{'limit_to_nouns': True, 'max_df': 0.954927361852068, 'min_df': 0.0496427918956611, 'model__alpha': 0.9077011546611603, 'model__l1_ratio': 0.6911116078771725, 'model__n_components': 20, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",18
0,116.29298996999933,body,"{'limit_to_nouns': False, 'max_df': 0.9740167629545166, 'min_df': 0.048644148917282616, 'model__alpha': 0.9555935071692502, 'model__l1_ratio': 0.6702496253184057, 'model__n_components': 50, 'ngram_range': (1, 1), 'vectorizer_type': 'TFIDF'}",19
0,199.5005447470012,both,"{'limit_to_nouns': False, 'max_df': 0.9759926891390613, 'min_df': 0.04044756020304054, 'model__alpha': 0.5237100605463287, 'model__l1_ratio': 0.9625878777537782, 'model__n_components': 70, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",20
0.6866492265162544,246.91440862400123,body,"{'limit_to_nouns': False, 'max_df': 0.9894212807498306, 'min_df': 0.03154096185937862, 'model__alpha': 0.773119454602162, 'model__l1_ratio': 0.8084503037270043, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",21
0.6849512637144106,1386.4543568030003,body,"{'limit_to_nouns': True, 'max_df': 0.9872239228509718, 'min_df': 0.03203585622090988, 'model__alpha': 0.09011103848638002, 'model__l1_ratio': 0.11283391987227209, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",22
0,1411.1306925619992,body,"{'limit_to_nouns': True, 'max_df': 0.9620963112922497, 'min_df': 0.02786892675958435, 'model__alpha': 0.733751050109912, 'model__l1_ratio': 0.8417071051972436, 'model__n_components': 40, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",23
0,271.13222996200057,body,"{'limit_to_nouns': False, 'max_df': 0.959980648394358, 'min_df': 0.0350066189360729, 'model__alpha': 0.18724657390718577, 'model__l1_ratio': 0.548084585026405, 'model__n_components': 75, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",24
0.5911255986560672,262.9451809359998,body,"{'limit_to_nouns': False, 'max_df': 0.9766691581294198, 'min_df': 0.024637782674899092, 'model__alpha': 0.43492594653210725, 'model__l1_ratio': 0.9989134455979776, 'model__n_components': 30, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",25
0,1546.0929481189996,both,"{'limit_to_nouns': True, 'max_df': 0.9853707687818002, 'min_df': 0.04030550104974807, 'model__alpha': 0.4915448375879584, 'model__l1_ratio': 0.19694623163408204, 'model__n_components': 85, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",26
0.686445683466234,1416.2574280500012,body,"{'limit_to_nouns': True, 'max_df': 0.9833304689552981, 'min_df': 0.03469248557704778, 'model__alpha': 0.5287734197150873, 'model__l1_ratio': 0.032232171189919945, 'model__n_components': 25, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",27
0.5366905065089609,297.37508828700084,both,"{'limit_to_nouns': False, 'max_df': 0.9506265835208183, 'min_df': 0.021208058747159444, 'model__alpha': 0.744278452847434, 'model__l1_ratio': 0.8043918665522944, 'model__n_components': 65, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",28
0.676089906472553,1383.533849558,body,"{'limit_to_nouns': True, 'max_df': 0.985085912385026, 'min_df': 0.038824353044881056, 'model__alpha': 0.20444792690843439, 'model__l1_ratio': 0.5803749171425446, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",29
0.7038540943774071,283.8279875389999,both,"{'limit_to_nouns': False, 'max_df': 0.9639798222917618, 'min_df': 0.02768932734073204, 'model__alpha': 0.003630615275231508, 'model__l1_ratio': 0.9166925635029121, 'model__n_components': 40, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",30
0,1380.0500907599999,body,"{'limit_to_nouns': True, 'max_df': 0.9772181678942883, 'min_df': 0.032954823330301516, 'model__alpha': 0.7029591652506121, 'model__l1_ratio': 0.4943501724938165, 'model__n_components': 35, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",31
0,1559.827903726,both,"{'limit_to_nouns': True, 'max_df': 0.9680064442612564, 'min_df': 0.04259824624012154, 'model__alpha': 0.46219471295281767, 'model__l1_ratio': 0.6438409353189817, 'model__n_components': 80, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",32
0,27.286499589001323,title,"{'limit_to_nouns': False, 'max_df': 0.959717541730342, 'min_df': 0.022447358817105217, 'model__alpha': 0.06838158274358741, 'model__l1_ratio': 0.7586545087463459, 'model__n_components': 15, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",33
0.6688369498754221,284.9544261539995,body,"{'limit_to_nouns': False, 'max_df': 0.9500675173155168, 'min_df': 0.01766060257223298, 'model__alpha': 0.855731355348112, 'model__l1_ratio': 0.4576830063323031, 'model__n_components': 90, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",34
0,1541.9909157639995,both,"{'limit_to_nouns': True, 'max_df': 0.9875736613651513, 'min_df': 0.03869475449417628, 'model__alpha': 0.6766583505169523, 'model__l1_ratio': 0.8806122900080946, 'model__n_components': 75, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",35
0,24.77370418300052,title,"{'limit_to_nouns': False, 'max_df': 0.9694200470981236, 'min_df': 0.029751236413938485, 'model__alpha': 0.5540676820763257, 'model__l1_ratio': 0.620584058985737, 'model__n_components': 30, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",36
0,1463.9876503149972,both,"{'limit_to_nouns': True, 'max_df': 0.9649307198019612, 'min_df': 0.044849803442114686, 'model__alpha': 0.38391941850160494, 'model__l1_ratio': 0.7555502687882152, 'model__n_components': 95, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",37
0.5375156632012368,173.48788634099765,body,"{'limit_to_nouns': False, 'max_df': 0.9738623989268639, 'min_df': 0.02664105375513356, 'model__alpha': 0.8169039071350426, 'model__l1_ratio': 0.5323378053768846, 'model__n_components': 55, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",38
0.6805123319628927,1525.038711123998,both,"{'limit_to_nouns': True, 'max_df': 0.9899232873333061, 'min_df': 0.037006609330785346, 'model__alpha': 0.24698269415341328, 'model__l1_ratio': 0.9961104657610191, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",39
0,163.46958195999832,title,"{'limit_to_nouns': True, 'max_df': 0.9786432484325388, 'min_df': 0.03374954704910426, 'model__alpha': 0.6388187237893397, 'model__l1_ratio': 0.4348088640660085, 'model__n_components': 65, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",40
0.5532649093857803,169.38962875499783,body,"{'limit_to_nouns': False, 'max_df': 0.9707798399158272, 'min_df': 0.03066465443555367, 'model__alpha': 0.34278083070880594, 'model__l1_ratio': 0.2348736065498906, 'model__n_components': 45, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",41
0,1509.7220576030013,both,"{'limit_to_nouns': True, 'max_df': 0.9842969982437216, 'min_df': 0.03669074418085559, 'model__alpha': 0.4272614590026635, 'model__l1_ratio': 0.023359887624839426, 'model__n_components': 40, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",42
0.6362153127072304,325.84478978300467,both,"{'limit_to_nouns': False, 'max_df': 0.9574338602006068, 'min_df': 0.010012110953779064, 'model__alpha': 0.28449991264970853, 'model__l1_ratio': 0.9219213665122347, 'model__n_components': 85, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",43
0,176.00620181699924,title,"{'limit_to_nouns': True, 'max_df': 0.9749597148815534, 'min_df': 0.022484258697928937, 'model__alpha': 0.588434043876551, 'model__l1_ratio': 0.6039276642304445, 'model__n_components': 25, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",44
0.4249943543425691,127.28222583499883,body,"{'limit_to_nouns': False, 'max_df': 0.9519397212536332, 'min_df': 0.011943207977655714, 'model__alpha': 0.14273019507469176, 'model__l1_ratio': 0.41879147183796833, 'model__n_components': 35, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",45
0.6655042205503928,1504.133571847,both,"{'limit_to_nouns': True, 'max_df': 0.9722912828287423, 'min_df': 0.017655732914786938, 'model__alpha': 0.38755811845178556, 'model__l1_ratio': 0.10252466181353764, 'model__n_components': 20, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",46
0.5803468747152849,161.8080728510031,body,"{'limit_to_nouns': False, 'max_df': 0.9813317315251014, 'min_df': 0.0475293541229064, 'model__alpha': 0.48389054873173876, 'model__l1_ratio': 0.7577568255578233, 'model__n_components': 15, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",47
0,165.06020266700216,title,"{'limit_to_nouns': True, 'max_df': 0.9876012542807939, 'min_df': 0.04364783645533108, 'model__alpha': 0.6392611704326727, 'model__l1_ratio': 0.4898774550841807, 'model__n_components': 60, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",48
0.6801321023960395,303.1140553860023,both,"{'limit_to_nouns': False, 'max_df': 0.9695129598691512, 'min_df': 0.019842322613597946, 'model__alpha': 0.053767700384174555, 'model__l1_ratio': 0.3412937703770085, 'model__n_components': 70, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",49
0,1412.1226540530042,body,"{'limit_to_nouns': True, 'max_df': 0.9779569187459206, 'min_df': 0.02847715505425629, 'model__alpha': 0.2787941321174935, 'model__l1_ratio': 0.27977233976886157, 'model__n_components': 80, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",50
0.5458414312866662,181.69470530300168,both,"{'limit_to_nouns': False, 'max_df': 0.9663368621873434, 'min_df': 0.04102015558540783, 'model__alpha': 0.15064471613915725, 'model__l1_ratio': 0.8661527099072319, 'model__n_components': 40, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",51
0.3936824355043747,116.28593516199908,body,"{'limit_to_nouns': False, 'max_df': 0.9802219861307375, 'min_df': 0.026552582651424808, 'model__alpha': 0.3339682705816326, 'model__l1_ratio': 0.17909602080352677, 'model__n_components': 10, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",52
0,170.15755984499992,title,"{'limit_to_nouns': True, 'max_df': 0.9616349020317277, 'min_df': 0.03863325296665626, 'model__alpha': 0.2206410215561389, 'model__l1_ratio': 0.7999575523568434, 'model__n_components': 50, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",53
0.5435250419109974,279.7643196890058,both,"{'limit_to_nouns': False, 'max_df': 0.9754257420696538, 'min_df': 0.015327324395683972, 'model__alpha': 0.5866778467870651, 'model__l1_ratio': 0.7178432507520037, 'model__n_components': 55, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",54
0,1394.1724343079986,body,"{'limit_to_nouns': True, 'max_df': 0.98258569362922, 'min_df': 0.03512093056474851, 'model__alpha': 0.5445839915737236, 'model__l1_ratio': 0.9530038492255982, 'model__n_components': 95, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",55
0.5505825525167409,178.55882571300026,both,"{'limit_to_nouns': False, 'max_df': 0.9861714335078913, 'min_df': 0.03101805228922177, 'model__alpha': 0.46023738508215883, 'model__l1_ratio': 0.5378804589898316, 'model__n_components': 45, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",56
0,1328.8097715199983,body,"{'limit_to_nouns': True, 'max_df': 0.9727512296461504, 'min_df': 0.023794738017340403, 'model__alpha': 0.36257991487465857, 'model__l1_ratio': 0.6634667804747114, 'model__n_components': 90, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",57
0,24.654393257995252,title,"{'limit_to_nouns': False, 'max_df': 0.9582734999929113, 'min_df': 0.0327831261018606, 'model__alpha': 0.4118375125594978, 'model__l1_ratio': 0.39351292912102076, 'model__n_components': 40, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",58
0.6840090335531845,1519.285323490003,both,"{'limit_to_nouns': True, 'max_df': 0.953254303295177, 'min_df': 0.026496473588430967, 'model__alpha': 0.9367788633784048, 'model__l1_ratio': 0.8457183269799056, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",59
0.659014228128736,258.06741257400427,body,"{'limit_to_nouns': False, 'max_df': 0.9890108115755312, 'min_df': 0.029109362262818322, 'model__alpha': 0.7895462381481311, 'model__l1_ratio': 0.964020015286811, 'model__n_components': 20, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",60
